22.01.2025 23:41:00 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <1483.225952, 471.969818, 14295.094727>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <1470.230103, 474.410126, 14305.234375>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <1474.680664, 472.969543, 14317.256836>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <13217.614258, 2.518112, 3908.059326>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <3721.922363, 303.221588, 8316.188477>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <3717.976074, 303.927490, 8303.309570>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <3726.145508, 303.832245, 8308.626953>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <3712.599365, 303.283173, 8310.856445>
28.01.2025 19:01:12 [Dayz-Dog] Spawned Wild Dog at <5293.704102, 479.687653, 14915.095703>
28.01.2025 19:32:46 [Dayz-Dog] 'DayzDog.json' found, loading existing config
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <10605.064453, 111.692146, 9785.913086>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <10626.955078, 108.771996, 9799.607422>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <10622.894531, 110.196884, 9789.631836>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <13384.885742, 5.918706, 5454.662109>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <13368.909180, 6.020940, 5434.063965>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <13385.907227, 5.666365, 5473.755371>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <13407.969727, 5.146769, 5471.674316>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <6194.541504, 156.426926, 12677.886719>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <6181.920410, 156.180725, 12671.987305>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <6189.558105, 156.673370, 12688.742188>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <6210.391602, 156.504410, 12682.058594>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <6208.082520, 156.079025, 12667.584961>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <2971.436035, 324.070129, 7716.500000>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <2969.756348, 322.441406, 7736.155273>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <2986.875977, 324.600006, 7706.540039>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <2969.334473, 325.437592, 7695.246582>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11463.451172, 221.100006, 7568.725586>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11473.383789, 221.879700, 7572.054688>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11463.872070, 221.115143, 7555.596191>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11454.909180, 221.100006, 7560.780762>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11540.866211, 47.305447, 14501.143555>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11544.124023, 49.194160, 14515.237305>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <11556.521484, 48.509495, 14510.955078>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <7607.153809, 219.448532, 5234.545898>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <7625.489746, 222.450012, 5247.591797>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <7628.036133, 217.700623, 5219.034180>
28.01.2025 19:34:04 [Dayz-Dog] Spawned Wild Dog at <2388.385742, 269.797913, 9093.463867>
28.01.2025 19:34:32 [Dayz-Dog] 'DayzDog.json' found, loading existing config
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7144.523926, 197.084915, 4272.092773>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7165.404785, 199.998535, 4258.495117>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7132.678711, 196.216217, 4274.119141>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7134.705078, 201.252335, 4249.736816>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <2239.832031, 264.922791, 13037.021484>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <2236.449219, 265.701477, 13045.257813>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <2222.100586, 268.020752, 13057.334961>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <2249.588135, 265.404663, 13060.523438>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <2243.851563, 263.526459, 13018.426758>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <5547.832031, 165.311035, 12703.532227>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <5551.801270, 163.859512, 12680.596680>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <5532.250000, 165.729568, 12707.592773>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <8502.857422, 392.062622, 15099.860352>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <8516.636719, 386.129791, 15087.581055>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7117.735352, 301.054413, 7841.567871>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <7102.734863, 301.351624, 7843.672852>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <4979.920410, 170.382935, 12969.332031>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <4987.326172, 170.233627, 12966.706055>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <4994.326172, 170.187286, 12969.505859>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <14814.166992, 91.476044, 14509.334961>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <14820.847656, 88.872917, 14511.517578>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <14809.667969, 89.522400, 14517.502930>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <11236.778320, 79.489937, 6625.269043>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <11237.309570, 82.158775, 6639.110352>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <11256.220703, 83.623306, 6642.430664>
28.01.2025 19:35:25 [Dayz-Dog] Spawned Wild Dog at <11224.862305, 79.469017, 6632.023926>
28.01.2025 19:41:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <4934.715332, 321.799957, 5595.521484>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <4925.729004, 321.873566, 5600.372559>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <6136.919922, 267.720245, 10477.083008>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <6159.245605, 270.945892, 10461.368164>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <6142.883789, 265.281830, 10492.838867>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <10694.559570, 6.995478, 2350.611084>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <10684.074219, 6.719430, 2348.133545>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <10674.703125, 6.480947, 2349.345947>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <10690.813477, 7.099830, 2344.450928>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <10699.650391, 7.109311, 2330.235107>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <9699.682617, 182.172394, 10536.910156>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <9721.714844, 179.761581, 10525.728516>
28.01.2025 19:42:06 [Dayz-Dog] Spawned Wild Dog at <9692.862305, 183.450516, 10551.891602>
28.01.2025 22:34:46 [Dayz-Dog] 'DayzDog.json' found, loading existing config
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12972.206055, 6.080239, 8320.943359>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12972.212891, 6.031035, 8307.047852>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <9137.904297, 223.483841, 3850.331543>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <9129.165039, 224.000000, 3864.291504>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <9132.686523, 223.853836, 3846.653564>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <9124.317383, 224.035126, 3865.349365>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12733.204102, 6.032753, 9672.731445>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12732.055664, 7.083009, 9657.036133>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12752.067383, 6.050283, 9650.835938>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <12739.630859, 6.732753, 9665.346680>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <1429.959473, 462.901123, 14125.304688>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <1416.054321, 462.723541, 14106.197266>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <1430.902954, 463.731354, 14135.946289>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <1416.620117, 462.620026, 14104.658203>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <10287.390625, 47.998161, 3801.817871>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <10296.700195, 46.760983, 3780.899902>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <10270.731445, 46.637489, 3793.114258>
28.01.2025 22:35:24 [Dayz-Dog] Spawned Wild Dog at <10275.758789, 47.450947, 3823.270020>
29.01.2025 11:16:47 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <4237.244141, 324.137726, 582.859619>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <4224.202148, 324.075928, 570.970093>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <4250.393555, 324.399750, 599.466248>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <9106.556641, 352.771881, 4796.270996>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <9128.223633, 358.477692, 4813.196777>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <11187.600586, 336.457245, 7656.377930>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <11834.372070, 372.845917, 2554.273682>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <11831.643555, 372.827423, 2547.877441>
29.01.2025 11:17:32 [Dayz-Dog] Spawned Wild Dog at <11829.854492, 373.023071, 2530.661377>
29.01.2025 11:23:14 [Dayz-Dog] Spawned Wild Dog at <845.605225, 282.697845, 5716.500488>
29.01.2025 11:28:03 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11726.762695, 380.058624, 2581.497559>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11742.530273, 379.554596, 2585.743164>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11726.916016, 379.845703, 2590.508545>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11710.506836, 380.117737, 2600.202148>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11719.930664, 380.208771, 2582.533447>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <4191.781738, 336.738525, 644.980286>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <4207.181152, 335.125336, 661.679077>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <4199.394531, 332.540161, 630.141174>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <4192.848633, 331.892792, 621.634521>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <4198.301758, 336.412994, 649.244080>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <9074.949219, 355.919281, 4765.802734>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <9085.695313, 365.836395, 4747.818359>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <9083.622070, 359.008606, 4766.128418>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <9076.950195, 361.364075, 4750.807617>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11236.397461, 334.326599, 7682.227539>
29.01.2025 11:28:47 [Dayz-Dog] Spawned Wild Dog at <11247.508789, 335.379456, 7688.563477>
29.01.2025 11:53:05 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11158.200195, 368.100006, 7580.000000>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11152.400391, 355.100006, 7605.399902>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11149.464844, 355.771820, 7597.084473>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11834.081055, 375.361542, 2585.373535>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11824.648438, 375.660217, 2580.060547>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <11824.304688, 374.757996, 2566.955566>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <4206.172363, 335.337830, 663.432495>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <4193.437988, 337.209137, 651.915222>
29.01.2025 11:53:49 [Dayz-Dog] Spawned Wild Dog at <9042.554688, 380.935791, 4689.922363>
29.01.2025 12:31:03 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11247.942383, 336.032288, 7683.942383>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11239.056641, 336.622925, 7663.936523>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11248.679688, 338.323395, 7665.725586>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11246.100586, 338.210205, 7660.140625>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <4223.181152, 325.025024, 596.285217>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <4202.962402, 325.762482, 595.002441>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <4201.751465, 329.995544, 618.673950>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <4208.545898, 324.913696, 586.996948>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11806.623047, 379.131470, 2631.000732>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11818.658203, 378.553467, 2643.746826>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11795.071289, 380.336578, 2647.428711>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <11808.643555, 377.565369, 2618.400635>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <9093.797852, 360.914307, 4767.781250>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <9079.009766, 351.963593, 4779.917969>
29.01.2025 12:31:46 [Dayz-Dog] Spawned Wild Dog at <9090.436523, 364.912689, 4755.312012>
29.01.2025 15:21:10 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11753.416016, 379.351318, 2579.561523>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11744.075195, 379.837067, 2558.797852>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11754.925781, 379.347778, 2577.579834>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11759.351563, 379.534149, 2560.679443>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <4218.977051, 333.066193, 671.603699>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <4203.690918, 335.968750, 675.467590>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <9156.336914, 444.446320, 4685.500488>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <9179.638672, 446.119293, 4689.098633>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <9156.331055, 442.176270, 4671.435547>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <9152.968750, 432.453217, 4708.291016>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11157.099609, 367.700012, 7579.000000>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11161.458984, 368.254791, 7577.601074>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11152.700195, 357.900024, 7592.200195>
29.01.2025 15:21:56 [Dayz-Dog] Spawned Wild Dog at <11164.500000, 368.200012, 7579.200195>
29.01.2025 15:24:57 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11796.629883, 379.569763, 2641.303955>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11780.858398, 380.544373, 2640.954102>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11773.718750, 382.890320, 2656.356445>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <4269.510742, 326.860504, 669.517944>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11232.157227, 335.277618, 7679.183594>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11231.080078, 334.861816, 7668.504395>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11224.978516, 335.395660, 7673.291016>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <11247.750977, 336.092377, 7682.927246>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <9094.315430, 357.467316, 4776.142090>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <9104.175781, 368.242920, 4757.751953>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <9111.615234, 354.461487, 4796.983398>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <9114.585938, 365.001251, 4774.989746>
29.01.2025 15:25:42 [Dayz-Dog] Spawned Wild Dog at <9101.295898, 368.159546, 4755.284180>
29.01.2025 15:52:13 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11240.164063, 348.100006, 7582.291992>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11240.865234, 348.123444, 7577.214844>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11233.908203, 349.670441, 7568.844727>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11239.474609, 348.497040, 7568.962891>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <9060.240234, 346.343079, 4779.061523>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <9062.153320, 343.445526, 4789.816406>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <9083.621094, 360.653229, 4760.889648>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11720.338867, 382.274750, 2628.808105>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <11704.848633, 383.752472, 2633.281494>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <4171.914551, 333.600372, 619.901184>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <4174.980469, 336.480804, 634.587097>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <4158.666504, 335.591370, 624.903870>
29.01.2025 15:53:00 [Dayz-Dog] Spawned Wild Dog at <4168.658691, 337.430298, 637.081909>
29.01.2025 16:44:09 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <11261.835938, 349.314667, 7595.274414>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <11783.414063, 381.000366, 2646.874756>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <11767.549805, 381.122559, 2639.432373>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <11768.708984, 381.190674, 2640.659180>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <11771.017578, 383.131348, 2656.825439>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <9127.243164, 421.471466, 4700.418945>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <9148.612305, 443.620850, 4686.729492>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <9115.716797, 420.770844, 4690.937500>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <4239.662598, 327.008698, 635.613037>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <4220.817383, 332.278809, 650.695740>
29.01.2025 16:44:52 [Dayz-Dog] Spawned Wild Dog at <4220.166504, 331.067780, 638.521179>
29.01.2025 17:04:50 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11224.437500, 336.489410, 7656.064453>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11243.855469, 339.414093, 7639.845215>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11203.115234, 341.592499, 7642.870117>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11222.355469, 337.576935, 7645.199707>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11775.894531, 378.994293, 2571.216309>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11793.806641, 376.519928, 2556.393066>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <11770.353516, 378.385284, 2555.452148>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <9129.261719, 363.881592, 4791.191406>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <9122.377930, 356.060577, 4814.161133>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <9146.919922, 364.892273, 4812.536621>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <9110.391602, 355.765717, 4792.790039>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <4213.814941, 324.010162, 561.744812>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <4222.105469, 324.097107, 578.520874>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <4229.813477, 324.065369, 578.289001>
29.01.2025 17:05:35 [Dayz-Dog] Spawned Wild Dog at <4224.100586, 324.088898, 576.796082>
29.01.2025 17:12:42 [Dayz-Dog] 'DayzDog.json' found, loading existing config
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <9067.555664, 380.508789, 4710.668945>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <9054.551758, 381.552856, 4699.326660>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <9052.112305, 377.597504, 4703.276855>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <11767.637695, 380.457520, 2631.650146>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <11765.001953, 379.622131, 2617.887451>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <11753.729492, 380.683502, 2621.759766>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <11178.327148, 338.749176, 7640.220703>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <11169.291016, 337.833862, 7658.363770>
29.01.2025 17:13:26 [Dayz-Dog] Spawned Wild Dog at <4177.131348, 324.685760, 569.879456>
30.01.2025 10:42:56 [Dayz-Dog] 'DayzDog.json' found, loading existing config
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11222.961914, 339.330658, 7633.077637>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11240.403320, 341.346161, 7618.227051>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11207.845703, 341.799988, 7645.594727>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11234.174805, 340.093140, 7626.365723>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11234.880859, 339.237518, 7631.425293>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11776.290039, 380.876343, 2641.309326>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11797.404297, 380.431213, 2649.686279>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <11758.107422, 381.609955, 2636.304932>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <9080.567383, 345.090363, 4796.901367>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <9077.215820, 346.989288, 4790.475586>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <9086.585938, 343.695862, 4813.800293>
30.01.2025 10:43:39 [Dayz-Dog] Spawned Wild Dog at <4206.782227, 329.361938, 618.771851>
30.01.2025 11:05:06 [Dayz-Dog] 'DayzDog.json' found, loading existing config
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <4264.124512, 324.467957, 591.241760>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <4241.715820, 324.880676, 603.545654>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <4240.297363, 324.484253, 597.706543>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <4263.950195, 324.255859, 588.067200>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11781.499023, 380.423615, 2640.222656>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11788.010742, 379.001953, 2631.350342>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11803.788086, 381.323730, 2658.213623>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11258.192383, 350.250061, 7566.263184>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11247.409180, 352.300690, 7553.892578>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <11236.682617, 348.786682, 7570.231445>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <9111.410156, 417.504211, 4692.390625>
30.01.2025 11:05:38 [Dayz-Dog] Spawned Wild Dog at <9133.236328, 436.237671, 4674.707031>
